,id,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,churn
50,70994,15637678,Hsing,646.0,France,Female,35.0,5,0.0,2,0,1,94420.94,0
51,95142,15681554,Biryukov,682.0,France,Male,35.0,6,0.0,2,1,1,172949.64,0
52,158264,15638463,Lettiere,683.0,Germany,Male,37.0,1,125842.3,2,1,1,167983.99,0
53,12667,15729771,Smith,691.0,France,Female,44.0,2,0.0,2,1,0,85547.33,0
54,23186,15607874,Dyer,755.0,France,Male,27.0,2,0.0,2,1,0,183983.82,0
55,137154,15690540,Onwudiwe,641.0,France,Male,32.0,5,0.0,2,0,1,144375.0,0
56,27104,15665887,Lucchesi,619.0,France,Female,25.0,5,0.0,2,1,1,75869.64,0
57,118575,15579566,Houghton,682.0,France,Male,31.0,2,0.0,2,1,0,175094.62,0
58,47690,15749381,Yu,764.0,Germany,Female,32.0,6,124023.18,1,1,0,166188.28,1
59,48578,15575430,Yeh,765.0,Spain,Female,33.0,5,0.0,2,1,1,159899.97,0
60,1307,15687955,T'ang,583.0,Germany,Male,39.0,7,123328.15,1,1,0,123699.15,0
61,23041,15673907,Piazza,619.0,Spain,Male,32.0,5,0.0,1,1,1,161671.15,0
62,71083,15739168,Fowler,511.0,France,Female,31.0,5,137411.29,1,1,1,161854.98,0
63,116686,15763063,Price,716.0,Spain,Female,33.0,6,128509.63,1,0,0,121562.33,1
64,118830,15587562,Ch'ang,597.0,Germany,Male,43.0,5,103914.17,1,1,1,118862.08,0
65,82683,15575445,Lucas,676.0,Spain,Female,49.0,1,0.0,1,0,0,79342.31,0
66,157815,15593468,Findlay,565.0,France,Female,41.0,6,0.0,2,1,0,145567.34,1
67,60530,15691104,Kennedy,460.0,Germany,Female,44.0,0,119507.58,2,1,0,91560.63,1
68,126218,15589949,Burns,583.0,Germany,Male,49.0,5,133501.36,1,1,0,192175.52,1
69,26531,15692583,Macdonald,711.0,France,Male,43.0,2,173340.83,1,1,1,106851.7,0
70,129643,15772421,Tretiakova,643.0,Germany,Female,31.0,1,128927.93,1,1,1,2850.01,0
71,45126,15645103,T'ien,704.0,France,Female,29.0,2,0.0,2,1,1,175843.66,0
72,130140,15623196,Fyodorov,621.0,Spain,Female,41.0,2,0.0,2,1,1,25325.04,0
73,97959,15795151,Hartzler,592.0,France,Female,42.0,3,123894.43,1,1,0,21177.1,0
74,35410,15774882,Teng,592.0,France,Female,32.0,3,105770.14,1,1,0,147720.27,0
75,36441,15724663,Maclean,695.0,France,Male,47.0,4,0.0,1,1,0,65464.66,1
76,17706,15568915,Fancher,663.0,Spain,Male,63.0,7,152085.88,1,1,1,74850.94,0
77,18739,15591711,Ting,677.0,France,Male,40.0,7,0.0,2,0,1,171706.66,0
78,58672,15715199,Genovese,743.0,Germany,Female,50.0,6,139875.1,2,1,1,149170.92,0
79,135571,15783865,Niu,622.0,France,Female,41.0,4,133658.24,1,1,0,80552.11,1
80,84749,15592925,Tu,749.0,France,Female,27.0,9,0.0,2,0,0,46632.87,0
81,124786,15731148,Hsueh,593.0,France,Male,28.0,1,0.0,2,1,0,95623.28,0
82,47059,15662497,Gilleland,678.0,Spain,Male,38.0,1,0.0,2,1,1,94790.11,0
83,61783,15679622,Manna,678.0,France,Male,28.0,7,0.0,2,0,0,94820.85,0
84,151848,15595537,Trout,752.0,Germany,Male,49.0,9,171787.84,2,1,0,187192.23,0
85,74035,15692575,Hsieh,621.0,France,Male,32.0,8,0.0,2,1,1,131718.12,0
86,141727,15731460,Macdonald,697.0,France,Female,29.0,3,0.0,1,1,1,152985.69,1
87,76933,15750056,Mazzi,635.0,Spain,Male,37.0,3,0.0,2,1,1,154700.99,0
88,155109,15665634,Brady,633.0,Spain,Female,35.0,8,0.0,1,1,1,52404.47,0
89,31217,15742934,Ugoji,584.0,France,Male,37.0,7,0.0,2,0,0,54443.72,1
90,23547,15716381,Greece,666.0,Germany,Female,40.0,7,109062.28,1,0,1,140136.1,0
91,87190,15583850,Biryukov,743.0,Spain,Male,43.0,3,126663.63,1,0,1,153383.62,0
92,103915,15694450,Manna,767.0,France,Male,32.0,7,0.0,2,1,0,72990.62,0
93,3057,15659937,Otutodilichukwu,697.0,Spain,Female,25.0,7,0.0,2,0,1,122518.5,0
94,120577,15697554,Ts'ui,710.0,Spain,Female,31.0,10,0.0,2,1,1,81452.02,0
95,119966,15777905,Tsai,678.0,France,Male,62.0,8,0.0,1,1,0,104889.3,1
96,127433,15749693,Mays,581.0,France,Female,34.0,3,0.0,2,0,0,50679.48,0
97,6449,15733581,Duncan,814.0,Germany,Male,32.0,6,80262.66,1,1,0,194867.78,0
98,152501,15635285,Taylor,647.0,France,Female,35.0,8,0.0,1,1,1,91055.27,1
99,41681,15792329,Tsao,757.0,Germany,Male,66.0,5,95502.21,2,1,1,5698.97,0
100,117400,15602797,Ugorji,644.0,Germany,Male,40.0,1,93796.42,2,1,0,90106.94,0
101,149939,15692406,Fanucci,652.0,France,Male,34.0,5,133634.02,1,1,1,137041.15,0
102,141206,15662662,Onyekachi,667.0,France,Female,41.0,6,0.0,1,1,0,94898.5,0
103,38879,15752588,Hsueh,690.0,Spain,Male,35.0,2,0.0,2,0,1,180598.86,0
104,63786,15778884,Hsia,638.0,France,Male,24.0,2,154763.21,2,1,0,174800.31,0
105,80609,15777784,Chidiebere,632.0,Germany,Female,31.0,3,137781.05,2,1,1,160829.96,0
106,56257,15691817,Shih,516.0,France,Male,38.0,3,0.0,2,0,1,93568.77,0
107,110980,15781234,Ch'ang,637.0,France,Male,38.0,9,118829.63,1,1,0,102920.63,0
108,81502,15664808,Onwumelu,803.0,France,Female,41.0,6,155619.36,1,1,0,142903.44,0
109,161035,15772373,Ojiofor,711.0,Spain,Male,37.0,6,0.0,2,1,1,186833.24,0
110,61223,15652698,Ch'ien,613.0,Germany,Female,50.0,4,113912.64,1,1,0,166526.43,1
111,9842,15588450,Chukwudi,633.0,France,Female,60.0,9,0.0,1,1,1,10288.24,1
112,78578,15743760,Y?,850.0,France,Male,31.0,6,131996.66,2,1,1,178747.43,0
113,109483,15662597,Hs?,651.0,France,Male,25.0,9,103379.38,1,1,1,114889.85,0
114,38143,15722090,Yeh,624.0,Spain,Female,41.0,3,66220.17,4,1,0,170819.01,1
115,69529,15689616,Ch'ang,686.0,Spain,Male,34.0,5,168094.01,1,1,0,20058.61,0
116,89778,15635116,Uspensky,721.0,Spain,Male,35.0,8,0.0,2,1,0,64516.8,0
117,44907,15601848,Scott,594.0,France,Male,35.0,1,0.0,2,1,1,103480.69,0
118,81272,15648858,Hs?,588.0,France,Female,37.0,1,0.0,2,0,0,140170.19,0
119,26399,15704581,Burlingame,702.0,Germany,Male,41.0,2,84622.13,1,1,0,198072.16,1
120,129080,15734008,Lucciano,677.0,Spain,Male,43.0,5,0.0,2,1,0,67972.45,0
121,83099,15791958,Dilibe,656.0,France,Male,35.0,7,0.0,2,1,1,158937.64,0
122,113112,15763907,Watts,573.0,Spain,Female,35.0,2,122449.31,1,1,0,132649.85,1
123,43548,15615207,Hsia,715.0,France,Male,33.0,4,0.0,1,1,1,168034.9,0
124,77930,15579996,Nwachukwu,732.0,France,Male,27.0,6,0.0,2,1,0,171681.86,0
125,163807,15640034,Hsia,733.0,Spain,Male,42.0,2,145731.83,1,1,0,51752.18,0
126,73834,15579892,Doyle,655.0,France,Male,19.0,7,0.0,2,1,1,4491.77,0
127,125279,15597945,Dellucci,619.0,Spain,Female,32.34,8,0.0,2,1,0,138555.46,0
128,129219,15725302,Streeton,670.0,Spain,Male,20.0,4,0.0,2,1,0,119759.24,0
129,109757,15599452,Ts'ui,788.0,Germany,Male,34.0,5,137239.17,1,1,1,88680.65,0
130,28837,15598894,K'ung,670.0,Germany,Male,40.0,2,116471.19,1,1,0,175071.24,1
131,125026,15663826,Chigolum,730.0,France,Male,31.0,3,132312.41,1,1,0,142223.41,0
132,113788,15583849,H?,667.0,France,Male,36.0,7,0.0,1,1,1,172576.43,0
133,160877,15617197,K?,556.0,France,Female,66.0,9,0.0,1,1,1,106851.7,1
134,153075,15682738,Goliwe,573.0,France,Male,45.0,8,106068.42,1,0,1,170821.12,1
135,144053,15705899,Mazzanti,658.0,Germany,Female,62.0,5,105563.0,1,0,0,133501.94,1
136,262,15808831,Milne,663.0,France,Female,28.0,3,142644.64,1,0,1,55868.97,0
137,59830,15727177,O'Donnell,749.0,France,Female,29.0,3,0.0,2,1,0,110525.4,0
138,5061,15771477,Arnold,590.0,France,Male,32.0,6,0.0,2,0,0,97416.34,0
139,96293,15577064,Ku,803.0,France,Female,43.0,6,123376.24,1,1,1,173870.78,1
140,138972,15637354,Yobachukwu,726.0,Spain,Male,34.0,7,148167.83,2,1,1,109470.34,0
141,31446,15658716,Iadanza,653.0,France,Male,29.0,9,0.0,2,1,1,56780.97,0
142,162659,15585835,Okwudiliolisa,629.0,Spain,Female,30.0,9,0.0,2,1,1,142937.59,0
143,130343,15606063,Kao,718.0,Germany,Female,41.0,8,118520.53,1,1,0,177655.69,1
144,88783,15606836,Lombardo,592.0,France,Female,38.0,4,0.0,2,1,1,199099.51,0
145,84935,15640106,Ch'ang,622.0,Germany,Male,52.0,0,121834.89,1,1,0,139912.97,1
146,48073,15661555,Koehler,709.0,France,Male,32.0,7,0.0,2,1,0,160579.79,0
147,242,15720583,T'ien,611.0,Germany,Female,57.0,5,128264.03,1,1,1,19150.14,1
148,81850,15800554,Fomina,850.0,France,Female,45.0,2,0.0,2,1,1,59568.24,0
149,91972,15634310,Hsu,749.0,Spain,Male,35.0,6,0.0,2,1,0,84790.49,0
150,85959,15633474,Brown,621.0,Germany,Female,39.0,5,164902.29,2,1,1,199478.33,0
151,137173,15809279,Hs?,489.0,France,Male,40.0,7,0.0,2,1,0,145792.01,0
152,145887,15781598,Naylor,590.0,Germany,Female,49.0,5,106415.57,1,0,1,160529.71,0
153,14195,15665784,She,581.0,Germany,Male,38.0,6,110483.86,2,1,1,72467.99,0
154,26690,15700394,Yevseyev,604.0,France,Female,27.0,7,142646.73,2,1,0,110520.48,1
155,48660,15803840,Forbes,729.0,France,Female,31.0,2,0.0,2,0,0,150803.44,0
156,44187,15774551,Chigozie,485.0,France,Female,42.0,6,129855.32,1,0,0,141946.92,1
157,87183,15706170,Y?an,614.0,Spain,Female,49.0,2,0.0,2,0,1,102515.35,0
158,146346,15635244,Biryukov,614.0,France,Male,36.0,1,93817.49,1,1,0,81313.51,0
159,9531,15778320,Teng,616.0,Germany,Female,40.0,5,148495.64,2,1,0,158853.98,0
160,73015,15662091,Hs?,739.0,France,Female,31.0,5,0.0,2,0,1,97908.01,0
161,83509,15674526,Obialo,738.0,Germany,Female,63.0,3,123916.67,3,1,1,162769.73,1
162,163986,15806913,Nkemakonam,684.0,France,Female,35.0,7,0.0,2,1,1,126812.63,0
163,48496,15565878,Ukaegbunam,707.0,Spain,Female,45.0,2,0.0,2,1,0,101039.53,0
164,77737,15809320,McElhone,714.0,Spain,Female,52.0,5,86893.28,1,1,0,31726.76,0
165,62291,15684181,Hackett,643.0,France,Male,45.0,5,0.0,1,1,1,142513.5,0
166,26578,15746199,Bibi,645.0,Germany,Male,59.0,6,109003.18,1,1,0,121551.86,1
167,93761,15797919,Ting,773.0,Spain,Male,37.0,9,103195.2,2,1,1,178268.36,0
168,49397,15598884,Onyeorulu,592.0,Germany,Female,25.0,6,124043.8,1,1,1,177747.03,0
169,116393,15721469,Ch'ang,717.0,Germany,Male,26.0,2,114739.92,2,1,0,81492.8,0
170,137948,15707551,Piazza,613.0,Germany,Female,49.0,9,122021.92,1,1,0,107825.08,1
171,1467,15578738,Tuan,609.0,France,Female,32.0,7,71872.19,1,1,1,151924.9,1
172,117861,15675888,Hsia,682.0,France,Male,41.0,10,0.0,2,0,0,163746.09,0
173,39774,15672798,Nnaife,615.0,France,Male,28.0,1,0.0,2,1,0,142210.5,0
174,132136,15662758,Trevisani,587.0,France,Male,41.0,1,0.0,1,1,1,89087.4,0
175,154968,15778830,Ugochukwutubelum,603.0,France,Male,41.0,5,0.0,2,1,1,111020.24,0
176,161658,15583028,Nwankwo,634.0,France,Female,37.0,1,0.0,1,1,0,60902.52,1
177,62571,15670037,Baresi,585.0,France,Male,30.0,10,0.0,1,1,0,177843.58,0
178,9934,15700627,Tuan,687.0,Spain,Male,38.0,7,0.0,1,1,1,50457.2,1
179,30,15583026,L?,632.0,France,Male,32.0,5,0.0,2,1,1,105817.87,0
180,158837,15793311,Fox,765.0,France,Female,46.0,9,101286.11,1,1,1,159840.51,1
181,106971,15744770,Stone,636.0,France,Male,44.0,2,0.0,2,1,1,86414.41,0
182,3596,15722004,Lucchesi,544.0,Spain,Male,34.0,1,162261.01,1,0,0,156048.64,0
183,22179,15760456,Loewenthal,630.0,Spain,Male,33.0,2,0.0,2,0,1,126863.28,0
184,52432,15673529,Uchenna,619.0,Spain,Female,26.0,6,0.0,2,1,0,67611.36,0
185,44433,15778287,Y?,581.0,Spain,Female,24.0,6,0.0,2,1,1,153400.16,0
186,16911,15702566,Genovesi,738.0,France,Male,40.0,5,0.0,2,1,1,157549.29,0
187,80736,15721116,Martin,833.0,Germany,Male,29.0,2,96798.79,1,1,0,133031.96,0
188,118360,15772479,L?,562.0,France,Male,30.0,2,0.0,1,1,0,38276.84,0
189,55356,15807045,Milanesi,829.0,France,Female,33.0,1,103457.76,1,0,1,1114.12,0
190,30373,15664808,Nicoll,535.0,Spain,Male,40.0,1,0.0,1,0,1,98897.32,0
191,108309,15650086,Kudryashova,564.0,France,Male,28.0,1,0.0,1,1,1,162428.05,1
192,117607,15718689,Ts'ui,598.0,France,Male,40.0,7,0.0,2,1,1,52896.02,0
193,157632,15681180,Fiorentino,583.0,France,Male,33.0,0,0.0,1,0,1,6761.84,1
194,132753,15667633,Pirozzi,681.0,France,Male,34.0,2,137871.06,1,1,0,59650.43,1
195,123260,15635660,Rossi,612.0,Germany,Male,30.0,0,142910.15,1,1,0,105890.55,1
196,163093,15641655,O'Brien,751.0,France,Male,28.0,9,0.0,2,1,1,187943.6,0
197,152745,15605341,Manna,619.0,Germany,Female,46.0,7,115518.07,1,0,0,76544.9,0
198,42111,15582797,Mazzi,611.0,France,Male,34.0,2,0.0,2,1,1,176743.51,0
199,156496,15703037,T'ien,579.0,France,Male,37.0,1,0.0,1,1,1,78854.64,1
200,64542,15702656,Yin,656.0,Germany,Female,40.0,6,96834.78,1,1,0,108876.75,1
201,123308,15758775,Ubanwa,762.0,France,Male,44.0,7,0.0,2,0,1,96528.0,0
202,129318,15647301,Lucchesi,663.0,Germany,Female,54.0,4,118097.94,2,0,1,183872.88,0
203,140724,15707114,Holder,831.0,France,Female,30.0,2,122394.0,1,0,1,3430.38,0
204,142156,15658532,Ch'eng,682.0,France,Male,39.0,10,113873.34,1,1,0,147545.65,0
205,116195,15737647,Tung,535.0,France,Male,34.0,1,0.0,2,0,0,6071.65,0
206,104104,15807595,T'ien,794.0,France,Male,33.0,9,0.0,2,1,1,138528.28,0
207,37556,15568106,Lu,670.0,France,Male,36.0,5,132351.29,1,0,0,141706.43,0
208,77809,15731790,Tung,683.0,France,Female,46.0,8,0.0,1,1,0,84906.1,1
209,163124,15643635,Ch'ang,619.0,Spain,Male,41.0,7,99097.36,1,1,0,166677.54,0
210,84463,15643916,He,619.0,Spain,Male,46.0,8,0.0,1,0,1,64593.07,1
211,158831,15694864,Rizzo,591.0,Germany,Female,54.0,3,111219.64,1,1,1,151428.97,1
212,47527,15813412,L?,815.0,Spain,Male,26.0,4,0.0,2,1,1,125870.2,0
213,22194,15675328,Calabrese,548.0,France,Male,33.0,9,0.0,2,1,0,67840.99,0
214,95462,15573348,Ch'ien,773.0,France,Male,45.0,1,105799.32,1,1,0,41219.09,0
215,24960,15690589,Gearheart,684.0,France,Female,41.0,1,0.0,2,0,1,177506.66,0
216,51635,15648032,Young,588.0,France,Male,48.0,2,0.0,2,0,0,187816.59,1
217,69361,15581539,Greco,477.0,Germany,Male,33.0,3,135643.0,1,0,0,143619.52,0
218,161525,15813503,Ts'ui,825.0,Spain,Male,38.0,4,0.0,2,1,0,160162.42,0
219,159369,15747808,Tseng,659.0,France,Male,32.0,9,0.0,1,1,1,174916.85,0
220,36936,15642468,Martin,613.0,France,Female,31.0,6,0.0,2,1,1,139435.44,0
221,25294,15597467,Ho,573.0,France,Female,47.0,1,0.0,2,1,1,177624.01,0
222,106273,15760085,Lettiere,714.0,France,Female,48.0,4,0.0,1,1,0,57762.0,1
223,134359,15678626,Okonkwo,538.0,Spain,Male,29.0,0,0.0,2,0,0,179453.66,0
224,158492,15693904,Chia,678.0,Germany,Female,41.0,6,137430.07,2,1,1,147545.81,0
225,18208,15753874,Kent,694.0,France,Male,37.0,5,143835.47,2,1,0,33326.71,0
226,109135,15638269,Ritchie,717.0,Spain,Female,39.0,5,0.0,1,1,0,131625.14,1
227,39064,15809872,Hs?,579.0,Germany,Female,39.0,7,131463.26,2,1,0,171045.65,0
228,147492,15612363,Chukwujamuike,716.0,Spain,Male,19.0,9,0.0,1,1,1,38270.16,0
229,67175,15569892,Rapuokwu,756.0,France,Male,44.0,3,153590.73,1,1,0,149593.61,0
230,108704,15771741,Uspenskaya,596.0,Germany,Male,51.0,5,164957.98,2,1,0,51385.52,1
231,64262,15609913,H?,521.0,France,Male,39.0,2,0.0,2,1,1,167035.81,0
232,4357,15692631,Milanesi,753.0,France,Male,41.0,7,0.0,1,1,0,71843.75,1
233,9941,15751531,Tan,497.0,France,Male,30.0,8,0.0,1,0,0,85421.48,0
234,81666,15676521,Hsueh,646.0,Spain,Male,42.0,7,0.0,1,1,0,94815.04,0
235,73268,15805523,Fenton,849.0,France,Female,50.0,3,0.0,1,1,0,199005.88,1
236,1693,15576935,Smith,528.0,Spain,Male,33.0,4,0.0,1,1,0,125870.78,0
237,34387,15593345,Chukwualuka,639.0,France,Male,33.0,1,98668.18,1,1,0,132029.96,0
238,75625,15590199,K?,502.0,France,Male,36.0,7,0.0,2,0,1,136079.41,0
239,68565,15739054,Y?,687.0,France,Female,28.0,4,144432.04,1,1,1,73963.17,0
240,155107,15636756,Nwankwo,597.0,Germany,Female,49.0,9,108010.79,1,1,0,169161.66,0
241,139931,15716518,Hsia,662.0,France,Male,25.0,4,160900.97,1,1,0,113089.43,0
242,62008,15725776,Ebelegbulam,708.0,Germany,Male,64.0,4,127758.04,2,0,1,141053.85,0
243,118540,15741417,Milanesi,612.0,France,Female,27.0,9,0.0,2,1,1,166678.28,0
244,16196,15769586,Ch'ien,684.0,Germany,Female,43.0,1,122351.29,1,1,1,71216.6,1
245,147998,15661534,Yermakov,691.0,France,Female,30.0,2,0.0,2,1,1,71159.3,0
246,122730,15647965,Hsueh,584.0,France,Female,39.0,8,141078.57,1,0,1,152956.33,0
247,54364,15753344,White,632.0,France,Male,32.0,7,0.0,2,1,0,147810.64,0
248,160903,15585853,O'Brien,850.0,France,Female,27.0,4,0.0,2,1,0,161671.15,0
249,107948,15666767,Hill,693.0,Spain,Female,35.0,2,0.0,2,1,1,82867.55,0
250,15061,15782210,Gadsdon,775.0,Germany,Male,33.0,0,109946.54,2,1,1,119377.21,0
251,141002,15810457,McLean,659.0,France,Female,56.0,4,0.0,1,1,0,132798.78,1
252,96217,15684861,Omeokachie,614.0,France,Female,36.0,5,0.0,2,1,0,135630.32,0
253,118584,15649033,Hsia,549.0,Germany,Male,39.0,7,123599.49,1,1,0,172668.39,0
254,8725,15751531,Shih,667.0,France,Male,34.0,3,0.0,2,0,0,133672.0,0
255,29523,15743828,Stevens,567.0,France,Male,40.0,5,164757.56,1,1,1,110887.14,0
256,99755,15607040,Chinedum,507.0,France,Male,37.0,4,0.0,2,1,1,19570.63,0
257,135479,15782530,Pinto,724.0,Spain,Male,44.0,3,0.0,2,1,0,152577.28,0
258,110442,15594577,Nnaife,713.0,Spain,Female,32.0,3,121669.93,1,1,0,103603.65,0
259,55447,15589200,Achebe,685.0,France,Male,41.0,1,0.0,2,1,1,18094.87,0
260,164919,15687310,Humphries,783.0,France,Male,37.0,2,127609.59,1,1,0,98646.22,0
261,109577,15572360,Dike,581.0,Germany,Male,29.0,1,77846.9,2,1,0,112146.14,0
262,23696,15744041,T'ang,579.0,Germany,Male,35.0,8,121063.57,1,1,0,187811.71,1
263,63512,15797329,Onyekaozulu,683.0,Germany,Male,36.0,5,158633.61,1,0,0,131778.58,0
264,152417,15636912,Sneddon,431.0,Spain,Male,38.0,3,124483.53,1,0,1,126253.31,0
265,78147,15644765,Mancini,602.0,France,Male,38.0,4,0.0,2,1,0,171099.22,0
266,89953,15604551,Robb,796.0,Spain,Female,32.0,9,102773.15,2,0,1,117832.39,0
267,146705,15745012,Pettit,662.0,France,Female,35.0,6,0.0,2,1,1,7330.59,0
268,59231,15682928,Chidiebele,663.0,France,Female,38.0,7,139799.63,1,1,1,159823.16,0
269,37679,15787322,Yeh,788.0,France,Female,41.0,6,0.0,1,1,0,25571.37,0
270,65330,15627848,Gresswell,680.0,Spain,Male,29.0,3,150777.1,1,1,0,53710.23,0
271,126645,15671345,Chiang,591.0,Germany,Female,52.0,1,102773.2,1,1,0,114775.53,1
272,91797,15683375,Chidiegwu,598.0,Germany,Female,34.0,8,120170.07,2,1,1,94815.02,0
273,129609,15608916,Logue,773.0,France,Male,47.0,9,0.0,3,1,1,175722.31,1
274,79936,15690743,Shao,592.0,Spain,Female,37.0,6,0.0,2,1,1,136551.25,0
275,118602,15663410,Hsing,573.0,France,Female,43.0,10,0.0,2,1,1,93839.3,0
276,128392,15725002,Maclean,712.0,France,Male,35.0,8,124727.65,1,1,0,132719.17,0
277,138028,15623927,Alexander,527.0,France,Male,46.0,4,0.0,2,0,1,94499.06,0
278,70086,15709394,Hs?,850.0,Germany,Male,39.0,4,115465.19,2,1,0,138021.84,0
279,29545,15633870,Ozioma,850.0,France,Female,36.0,10,0.0,2,1,0,100750.03,0
280,81106,15624595,Chiazagomekpere,649.0,Spain,Male,30.0,7,142688.57,2,0,0,199378.58,0
281,41309,15627365,Calabresi,732.0,Spain,Male,46.0,7,0.0,2,1,0,184350.78,0
282,2728,15782475,Hancock,686.0,France,Female,49.0,2,0.0,1,0,1,190296.76,1
283,125114,15785899,Iadanza,850.0,Spain,Male,36.0,9,0.0,2,1,0,58961.49,0
284,152740,15587913,Ts'ui,706.0,Spain,Male,42.0,1,0.0,2,1,1,43982.41,0
285,128273,15814275,Chidubem,492.0,France,Female,32.0,1,115442.19,1,1,0,191734.67,1
286,16076,15808526,Cartwright,679.0,Spain,Female,47.0,3,0.0,2,0,1,92794.61,0
287,137744,15636428,Tuan,713.0,France,Male,30.0,7,0.0,2,1,1,44830.71,0
288,105818,15604516,Li,682.0,France,Female,33.0,5,145512.85,1,1,0,44965.42,0
